episode,rolling_win_rate,rolling_mean_reward,win_trend,win_residual_std,reward_trend,best_win_rate,epsilon,is_new_best,stopped
1000,0.0,2.06291,0.0,0.0,0.0,0.0,0.01,1,0
1100,0.0,1.94585,0.0,0.0,0.0,0.0,0.01,0,0
1200,0.0,1.96818,0.0,0.0,0.0,0.0,0.01,0,0
1300,0.0,1.76725,0.0,0.0,0.0,0.0,0.01,0,0
1400,0.0,1.47606,0.0,0.0,0.0,0.0,0.01,0,0
1500,0.0,1.49848,0.0,0.0,0.0,0.0,0.01,0,0
1600,0.0,1.34738,0.0,0.0,0.0,0.0,0.01,0,0
1700,0.0,1.55838,0.0,0.0,0.0,0.0,0.01,0,0
1800,0.0,1.38214,0.0,0.0,0.0,0.0,0.01,0,0
1900,0.0,1.72465,0.0,0.0,0.0,0.0,0.01,0,0
2000,0.0,1.88692,0.0,0.0,0.0,0.0,0.01,0,0
2100,0.0,2.01235,0.0,0.0,0.0,0.0,0.01,0,0
2200,0.0,1.71545,0.0,0.0,0.0,0.0,0.01,0,0
2300,0.0,1.75354,0.0,0.0,0.0,0.0,0.01,0,0
2400,0.0,1.63249,0.0,0.0,-0.13652,0.0,0.01,0,1
