Episode,Win,Turns,Reward,Seat
1,0,300,-20.346153846153843,3
2,0,300,13.807692307692314,1
3,0,154,5.776923076923077,0
4,0,76,3.092307692307692,2
5,0,64,1.423076923076923,3
6,0,61,1.9615384615384612,1
7,0,37,0.6230769230769232,3
8,0,61,2.9615384615384612,3
9,0,166,4.676923076923076,2
10,0,300,8.576923076923082,2
11,0,97,2.584615384615384,2
12,0,40,2.623076923076923,2
13,0,300,-19.269230769230763,3
14,0,205,6.376923076923078,2
15,0,172,4.061538461538461,3
16,0,130,3.9769230769230766,2
17,0,64,2.1153846153846154,3
18,0,300,-50.03846153846153,3
19,0,300,9.730769230769235,1
20,0,241,7.307692307692309,3
21,0,28,1.2384615384615385,0
22,0,25,0.49230769230769234,3
23,0,100,2.353846153846153,3
24,0,300,-47.65384615384615,3
25,0,64,2.1153846153846154,2
26,0,112,3.484615384615384,2
27,0,300,9.730769230769235,0
28,0,82,2.2230769230769227,0
29,0,190,5.784615384615385,0
30,0,88,2.453846153846153,3
31,0,82,2.607692307692307,0
32,0,88,3.453846153846153,2
33,0,52,1.446153846153846,2
34,0,115,3.076923076923076,1
35,0,109,3.1769230769230763,2
36,0,300,-47.11538461538461,3
37,0,262,7.953846153846158,0
38,0,55,1.2153846153846155,3
39,0,106,2.2538461538461534,2
40,0,130,3.9769230769230757,2
41,0,172,6.292307692307694,3
42,0,70,1.8615384615384614,0
43,0,142,3.492307692307692,0
44,0,300,7.8846153846153895,1
45,0,43,0.853846153846154,3
46,0,121,3.692307692307692,3
47,0,262,7.8000000000000025,0
48,0,76,2.3769230769230765,0
49,0,52,1.8307692307692307,3
50,0,67,2.015384615384615,0
51,0,300,9.807692307692312,1
52,0,109,3.023076923076923,3
53,0,100,3.407692307692307,0
54,0,49,1.830769230769231,1
55,0,118,3.230769230769231,1
56,0,106,1.8692307692307693,0
57,0,85,2.9923076923076923,1
58,0,300,11.576923076923082,0
59,0,55,1.1153846153846154,1
60,0,300,10.88461538461539,1
61,0,55,0.6,3
62,0,94,2.276923076923077,2
63,0,124,3.2076923076923065,0
64,0,118,4.461538461538463,2
65,0,148,3.876923076923076,3
66,0,46,1.523076923076923,2
67,0,52,1.5,0
68,0,300,9.42307692307693,2
69,0,121,3.2307692307692304,1
70,0,300,10.038461538461544,0
71,0,109,2.4846153846153842,2
72,0,136,3.2076923076923074,2
73,0,67,3.0923076923076924,1
74,0,300,11.884615384615392,2
75,0,211,6.069230769230772,3
76,0,64,1.7076923076923076,0
77,0,82,2.3,2
78,0,130,2.746153846153846,1
79,0,154,4.8538461538461535,1
80,0,103,2.638461538461538,1
81,0,61,2.2692307692307687,1
82,0,112,4.253846153846154,2
83,0,300,10.961538461538465,1
84,0,79,1.6076923076923075,1
85,0,70,1.5538461538461537,0
86,0,300,10.500000000000007,0
87,0,55,1.1153846153846156,0
88,0,103,3.33076923076923,1
89,0,300,-25.807692307692307,3
90,0,235,7.000000000000002,1
91,0,121,3.307692307692307,2
92,0,40,1.523076923076923,0
93,0,94,2.3538461538461535,0
94,0,70,1.7846153846153845,1
95,0,82,2.53076923076923,1
96,0,97,2.969230769230769,2
97,0,157,3.6999999999999993,2
98,0,118,4.076923076923077,0
99,0,300,10.423076923076927,1
100,0,82,2.453846153846154,0
101,0,300,9.653846153846159,0
102,0,73,1.169230769230769,2
103,0,40,1.4461538461538463,0
104,0,58,1.5,2
105,0,115,2.715384615384615,3
106,0,22,1.3384615384615386,2
107,0,229,7.715384615384619,1
108,0,52,2.1153846153846154,0
109,0,76,1.7076923076923078,3
110,0,130,3.2076923076923074,1
111,0,82,1.992307692307692,0
112,0,300,9.961538461538465,0
113,0,300,10.423076923076927,2
114,0,85,1.2999999999999998,3
115,0,79,2.553846153846153,3
116,0,76,1.3000000000000003,0
117,0,169,5.753846153846155,3
118,0,109,2.4076923076923076,2
119,0,300,9.346153846153848,1
120,0,73,2.5538461538461537,3
121,0,274,10.238461538461543,2
122,0,55,1.6538461538461537,0
123,0,211,4.607692307692309,3
124,0,37,0.7769230769230769,3
125,0,130,3.7461538461538457,2
126,0,300,12.11538461538462,1
127,0,190,4.246153846153847,2
128,0,130,4.2846153846153845,0
129,0,300,-43.80769230769231,3
130,0,256,6.646153846153847,0
131,0,109,2.1769230769230763,1
132,0,136,3.284615384615384,2
133,0,175,4.5,1
134,0,49,1.2153846153846155,1
135,0,300,10.961538461538467,2
136,0,133,3.8230769230769224,1
137,0,85,2.6846153846153844,3
138,0,55,2.7307692307692304,0
139,0,300,10.115384615384617,1
140,0,115,3.384615384615384,1
141,0,193,5.323076923076924,1
142,0,300,9.192307692307699,1
143,0,172,4.753846153846155,3
144,0,37,1.4692307692307693,2
145,0,112,4.384615384615384,0
146,0,49,1.0615384615384613,1
147,0,73,2.4769230769230766,2
148,0,247,6.307692307692309,3
149,0,154,4.392307692307693,2
150,0,118,3.461538461538461,0
151,0,73,2.169230769230769,1
152,0,136,3.2846153846153845,3
153,0,298,10.807692307692314,2
154,0,85,1.5307692307692307,2
155,0,97,3.3538461538461535,2
156,0,55,2.3461538461538463,0
157,0,70,2.169230769230769,0
158,0,70,1.7846153846153845,1
159,0,67,2.5,3
160,0,259,7.876923076923079,0
