episode,rolling_win_rate,rolling_mean_reward,win_trend,win_residual_std,reward_trend,best_win_rate,is_new_best,stopped
1000,0.292,13.43448,0.0,0.0,0.0,0.292,1,0
1100,0.292,14.16825,0.0,0.0,0.0,0.292,0,0
1200,0.278,13.7486,0.0,0.0,0.0,0.292,0,0
1300,0.276,13.9404,0.0,0.0,0.0,0.292,0,0
1400,0.284,14.31008,0.0,0.0,0.0,0.292,0,0
1500,0.262,12.9466,0.0,0.0,0.0,0.292,0,0
1600,0.288,14.12068,0.0,0.0,0.0,0.292,0,0
1700,0.318,14.50871,0.0,0.0,0.0,0.318,1,0
1800,0.316,14.22262,0.0,0.0,0.0,0.318,0,0
1900,0.31,13.64503,0.0,0.0,0.0,0.318,0,0
2000,0.356,16.76314,0.0,0.0,0.0,0.356,1,0
2100,0.34,15.29886,0.0,0.0,0.0,0.356,0,0
2200,0.332,15.18558,0.0,0.0,0.0,0.356,0,0
2300,0.364,16.93389,0.0,0.0,0.0,0.364,1,0
2400,0.382,17.51123,0.0964,0.01753,3.3304,0.382,1,0
2500,0.316,14.62158,0.0893,0.02006,2.78483,0.382,0,0
2600,0.312,14.97651,0.0796,0.02289,2.59765,0.382,0,0
2700,0.318,14.72378,0.0654,0.02488,2.11374,0.382,0,0
2800,0.312,14.03623,0.0463,0.02646,1.41714,0.382,0,0
2900,0.304,13.10975,0.0258,0.02771,0.53936,0.382,0,1
