Episode,Win,Turns,Reward,Seat
1,0,250,-37.15384615384615,3
2,0,25,1.4153846153846152,2
3,0,157,-30.607692307692304,0
4,1,300,82.96153846153847,3
5,1,300,20.192307692307693,1
6,0,64,0.7846153846153848,0
7,0,300,10.423076923076922,3
8,1,187,60.42307692307693,2
9,0,76,4.092307692307692,2
10,1,300,12.192307692307699,0
11,0,55,1.9615384615384612,1
12,0,73,1.7846153846153845,1
13,0,82,2.761538461538461,2
14,0,61,2.038461538461538,3
15,0,19,1.4153846153846152,1
16,0,91,4.276923076923078,0
17,0,300,-2.0384615384615294,3
18,0,49,1.523076923076923,2
19,0,268,-57.89230769230769,1
20,0,133,-38.94615384615385,0
21,1,253,53.66923076923077,0
22,1,247,66.92307692307692,2
23,0,220,7.892307692307698,2
24,0,73,3.7846153846153845,3
25,0,37,2.469230769230769,1
26,0,79,1.9923076923076923,1
27,1,300,18.88461538461539,2
28,1,199,77.93846153846154,2
29,0,300,9.192307692307692,3
30,1,300,79.73076923076924,3
31,0,61,3.1923076923076925,1
32,1,300,21.499999999999993,0
33,0,300,0.7307692307692406,3
34,1,115,35.715384615384615,2
35,0,70,2.6307692307692303,2
36,0,300,17.730769230769234,0
37,1,300,20.346153846153847,0
38,0,85,2.6846153846153844,3
39,1,300,21.346153846153843,1
40,1,300,24.346153846153832,1
41,1,73,0.7846153846153848,1
42,1,160,77.85384615384615,1
43,0,300,10.269230769230772,1
44,1,133,53.51538461538462,0
45,0,205,-52.62307692307692,0
46,1,88,51.60769230769231,1
47,1,232,80.71538461538462,1
48,0,300,19.576923076923077,2
49,1,300,18.26923076923077,0
50,0,106,4.638461538461538,0
51,0,61,2.8846153846153846,3
52,0,115,4.461538461538462,1
53,1,214,80.37692307692308,3
54,0,43,1.8307692307692307,0
55,1,300,73.57692307692308,3
56,0,64,1.346153846153846,2
57,0,300,18.11538461538462,2
58,1,300,17.34615384615385,2
59,0,40,1.623076923076923,3
60,1,262,47.05384615384616,3
61,1,238,56.56153846153847,3
62,0,31,2.1846153846153844,3
63,0,58,2.2692307692307687,0
64,1,157,61.62307692307692,0
65,0,241,-44.15384615384615,0
66,0,103,4.023076923076923,1
67,0,49,2.830769230769231,1
68,0,106,5.869230769230771,0
69,1,271,51.415384615384625,2
70,0,67,3.6307692307692307,1
71,0,300,-6.42307692307692,3
72,0,124,4.230769230769231,2
73,0,118,3.6153846153846145,2
74,1,139,58.284615384615385,2
75,1,300,78.03846153846155,3
76,0,247,-30.076923076923073,2
77,0,106,4.484615384615385,2
78,1,300,20.346153846153843,0
79,0,169,6.369230769230771,3
80,1,271,69.49230769230769,2
81,1,157,70.54615384615384,0
82,1,300,21.115384615384617,1
83,1,300,19.884615384615387,0
84,0,300,12.500000000000004,2
85,0,300,13.730769230769232,1
86,1,163,77.93076923076923,2
87,0,28,0.9538461538461539,3
88,0,64,1.3999999999999995,0
89,0,88,3.069230769230769,3
90,0,76,2.3769230769230765,0
91,0,298,-37.169230769230765,3
92,1,274,62.184615384615384,3
93,1,300,17.961538461538463,0
94,0,300,8.423076923076925,3
95,1,300,18.269230769230774,2
96,1,184,46.269230769230774,1
97,0,232,-49.28461538461538,1
98,0,64,2.553846153846154,0
99,0,67,3.0153846153846153,0
100,0,37,1.3923076923076922,1
101,0,103,5.253846153846155,1
102,0,82,1.6846153846153844,2
103,0,88,2.8923076923076922,0
104,1,300,20.653846153846153,1
105,1,172,86.98461538461538,1
106,0,300,12.346153846153856,1
107,0,88,3.3,3
108,0,37,2.315384615384615,1
109,0,40,1.3153846153846154,3
110,0,52,2.0615384615384613,2
111,0,115,2.9461538461538463,3
112,1,229,68.33076923076923,0
113,1,283,71.00769230769231,2
114,1,300,20.730769230769226,2
115,1,166,78.77692307692308,3
116,0,43,1.523076923076923,1
117,1,300,22.346153846153843,2
118,0,223,10.330769230769237,1
119,1,300,16.115384615384617,1
120,1,300,20.5,2
121,1,300,64.88461538461539,3
122,0,300,15.269230769230774,0
123,0,73,1.8615384615384611,3
124,0,217,-45.8,0
125,0,73,3.015384615384615,3
126,0,300,19.26923076923076,0
127,0,94,4.276923076923077,1
128,0,300,12.5,0
129,1,300,18.653846153846157,0
130,1,300,19.73076923076923,0
131,0,118,3.9999999999999996,2
132,1,300,22.8076923076923,2
133,0,49,3.446153846153846,2
134,0,300,-3.4230769230769234,3
135,0,300,13.423076923076927,2
136,0,154,7.930769230769231,0
137,0,300,15.50000000000001,2
138,1,232,72.94615384615385,1
139,1,300,19.961538461538463,0
140,1,229,73.17692307692309,0
141,0,64,1.0153846153846153,0
142,0,64,3.8615384615384616,0
143,1,154,41.87692307692308,3
144,0,300,-2.730769230769228,3
145,0,133,3.9,3
146,0,88,2.992307692307692,3
147,1,211,54.68461538461539,2
148,1,300,18.807692307692307,2
149,1,300,21.115384615384613,0
150,0,52,1.2153846153846153,3
151,0,49,1.676923076923077,1
152,0,34,0.853846153846154,1
153,0,106,3.3307692307692305,1
154,0,70,2.938461538461538,0
155,0,40,1.0076923076923077,3
156,0,85,2.9923076923076914,1
157,1,115,52.792307692307695,2
158,0,238,-28.59230769230769,3
159,1,300,25.115384615384603,2
160,0,300,-3.884615384615385,3
161,0,67,3.038461538461538,3
162,1,300,12.88461538461539,0
163,1,211,44.06923076923077,2
164,0,300,17.65384615384616,1
165,1,300,17.80769230769231,1
166,1,300,21.807692307692303,0
167,1,300,87.42307692307693,3
168,0,46,0.9846153846153848,1
169,0,49,2.2923076923076917,2
170,1,229,43.71538461538462,0
171,0,55,3.576923076923076,1
172,1,300,103.96153846153847,3
173,1,300,51.96153846153847,3
174,0,250,-41.53846153846154,3
175,0,46,1.9846153846153842,1
176,0,31,0.7769230769230772,0
177,0,55,2.4999999999999996,0
178,1,300,20.576923076923077,2
179,1,300,18.730769230769234,0
180,1,300,14.038461538461542,0
181,0,250,-32.84615384615384,3
182,1,184,49.807692307692314,1
183,0,61,1.576923076923077,2
184,0,46,1.7538461538461538,0
185,0,37,3.6230769230769226,3
186,0,43,1.1384615384615384,1
187,0,61,1.8846153846153844,2
188,0,49,0.9076923076923079,3
189,0,136,3.4384615384615387,3
190,0,64,1.9384615384615382,0
191,0,169,-41.784615384615385,0
192,0,166,-41.761538461538464,3
193,0,58,1.192307692307692,0
194,1,300,73.34615384615385,3
195,0,49,1.2923076923076922,3
196,1,163,72.85384615384615,2
197,0,91,4.223076923076923,3
198,1,28,57.723076923076924,1
199,1,300,21.653846153846153,1
200,1,232,65.33076923076923,1
201,1,142,41.59230769230769,3
202,1,300,90.03846153846153,3
203,0,64,2.476923076923076,0
204,0,100,-44.107692307692304,1
